seed,gen,rank,fitness,expr
1,15,2,1.372099041913e-03,"add(add(neg(yw), -0.40951156130425237), sub(sub(sub(protected_tanh(yw), sub(0.48321706674199083, -0.10220268693512724)), yw), yw))"
1,15,3,1.372116886556e-03,"add(add(-0.41058518749939865, -0.40951156130425237), sub(sub(protected_tanh(add(yw, 0.21465781410737028)), sub(0.48321706674199083, -0.41058518749939865)), yw))"
1,15,4,1.372116886646e-03,"add(add(-0.41058518749939865, -0.40951156130425237), sub(sub(protected_tanh(add(yw, 0.21465781410737028)), sub(0.48321706674199083, -0.41058518749939865)), yw))"
1,15,5,1.372116887525e-03,"add(add(-0.41058518749939865, -0.40951156130425237), sub(sub(protected_tanh(mul(sub(-0.13842223591652314, -0.0974253914699833), neg(0.03212839743153817))), sub(0.48321706674199083, -0.10220268693512724)), yw))"
1,15,6,1.372116887556e-03,"add(add(-0.41058518749939865, -0.40951156130425237), sub(sub(protected_tanh(mul(sub(-0.13842223591652314, -0.0974253914699833), neg(0.03212839743153817))), sub(0.48321706674199083, -0.10220268693512724)), yw))"
1,15,7,1.372116909172e-03,"add(add(add(-0.41058518749939865, -0.40951156130425237), -0.40951156130425237), add(neg(yw), -0.40951156130425237))"
1,15,8,1.372116915551e-03,"add(add(-0.41058518749939865, -0.40951156130425237), sub(sub(protected_tanh(mul(sub(-0.13842223591652314, -0.0974253914699833), neg(0.03212839743153817))), sub(0.48321706674199083, -0.10220268693512724)), yw))"
1,15,9,1.464026315637e-03,"add(add(mul(neg(0.43905444826027995), mul(0.19132054055985126, -0.16409658806772764)), -0.40951156130425237), sub(protected_tanh(yw), sub(0.48321706674199083, -0.10220268693512724)))"
1,16,0,1.372097763893e-03,"add(add(neg(yw), -0.40951156130425237), sub(sub(protected_tanh(yw), sub(0.48321706674199083, -0.10220268693512724)), yw))"
1,16,1,1.372097772300e-03,"add(add(neg(yw), -0.40951156130425237), sub(sub(protected_tanh(yw), sub(0.48321706674199083, -0.10220268693512724)), yw))"
1,16,2,1.372097772310e-03,"add(add(neg(yw), -0.40951156130425237), sub(sub(protected_tanh(yw), sub(0.48321706674199083, -0.10220268693512724)), yw))"
1,16,3,1.372097772316e-03,"add(add(neg(yw), -0.40951156130425237), sub(sub(protected_tanh(yw), sub(0.48321706674199083, -0.10220268693512724)), yw))"
1,16,4,1.372116887556e-03,"add(add(neg(yw), -0.40951156130425237), sub(sub(sub(protected_tanh(yw), sub(0.48321706674199083, -0.10220268693512724)), add(yw, 0.11363597888789623)), yw))"
1,16,5,1.372116893930e-03,"add(add(-0.41058518749939865, -0.40951156130425237), sub(sub(protected_tanh(add(yw, 0.21465781410737028)), sub(0.48321706674199083, -0.41058518749939865)), yw))"
1,16,6,1.372116895074e-03,"add(add(-0.41058518749939865, -0.40951156130425237), sub(sub(protected_tanh(mul(sub(-0.13842223591652314, -0.0974253914699833), neg(0.03212839743153817))), sub(0.48321706674199083, -0.10220268693512724)), yw))"
1,16,7,1.461993166547e-03,"add(add(neg(yw), -0.10220268693512724), sub(sub(protected_tanh(yw), sub(0.48321706674199083, -0.10220268693512724)), yw))"
1,16,8,1.469366027445e-03,"add(add(neg(yw), -0.40951156130425237), sub(sub(protected_tanh(0.40507836187692503), sub(0.48321706674199083, -0.10220268693512724)), yw))"
1,16,9,1.508272485959e-03,"add(add(neg(yw), protected_tanh(0.3689309693312387)), sub(sub(protected_tanh(yw), sub(0.48321706674199083, -0.40951156130425237)), yw))"
1,17,0,1.372097772300e-03,"add(add(neg(yw), -0.40951156130425237), sub(sub(protected_tanh(yw), sub(0.48321706674199083, -0.10220268693512724)), yw))"
1,17,1,1.372097772310e-03,"add(add(neg(yw), -0.40951156130425237), sub(sub(protected_tanh(yw), sub(0.48321706674199083, -0.10220268693512724)), yw))"
1,17,2,1.372097772310e-03,"add(add(neg(yw), -0.40951156130425237), sub(sub(protected_tanh(yw), sub(0.48321706674199083, -0.10220268693512724)), yw))"
1,17,3,1.372097793761e-03,"add(add(neg(yw), -0.40951156130425237), sub(sub(protected_tanh(yw), sub(0.48321706674199083, -0.10220268693512724)), yw))"
1,17,4,1.372116887814e-03,"add(add(-0.41058518749939865, -0.40951156130425237), sub(sub(protected_tanh(add(yw, sub(-0.32384120221635593, yw))), sub(0.48321706674199083, -0.41058518749939865)), yw))"
1,17,5,1.372116895074e-03,"add(add(neg(yw), -0.40951156130425237), sub(sub(protected_tanh(yw), sub(0.48321706674199083, -0.10220268693512724)), 0.12254766742684453))"
1,17,6,1.386853274053e-03,"add(add(0.028481496051753763, -0.40951156130425237), sub(sub(protected_tanh(yw), sub(0.48321706674199083, -0.10220268693512724)), yw))"
1,17,7,1.549293224588e-03,"add(add(neg(yw), -0.10220268693512724), sub(sub(protected_tanh(yw), sub(add(protected_tanh(yw), add(yw, yw)), -0.10220268693512724)), yw))"
1,17,8,1.678232343132e-03,"add(add(neg(yw), -0.10220268693512724), yw)"
1,17,9,1.737460853267e-03,"yw"
1,18,0,1.372097772300e-03,"add(add(neg(yw), -0.40951156130425237), sub(sub(protected_tanh(yw), sub(0.48321706674199083, -0.10220268693512724)), yw))"
1,18,1,1.372097772310e-03,"add(add(neg(yw), -0.40951156130425237), sub(sub(protected_tanh(yw), sub(0.48321706674199083, -0.10220268693512724)), yw))"
1,18,2,1.372097772310e-03,"add(add(neg(yw), -0.40951156130425237), sub(sub(protected_tanh(yw), sub(0.48321706674199083, -0.10220268693512724)), yw))"
1,18,3,1.458069955719e-03,"add(add(neg(yw), -0.40951156130425237), sub(sub(protected_tanh(yw), sub(0.48321706674199083, -0.10220268693512724)), neg(yw)))"
1,18,4,1.503085641294e-03,"add(add(neg(yw), -0.40951156130425237), sub(sub(protected_tanh(yw), sub(protected_tanh(protected_tanh(0.06443997784496158)), -0.10220268693512724)), 0.12254766742684453))"
1,18,5,1.546732744466e-03,"add(add(neg(yw), -0.40951156130425237), sub(sub(protected_tanh(yw), sub(-0.10220268693512724, -0.10220268693512724)), yw))"
1,18,6,1.634270490482e-03,"add(add(yw, -0.40951156130425237), sub(sub(protected_tanh(yw), sub(0.48321706674199083, -0.10220268693512724)), sub(add(-0.22636681044129403, 0.4589513983478465), add(0.42333226504596166, yw))))"
1,18,7,1.683658327077e-03,"add(add(neg(yw), -0.40951156130425237), sub(0.48321706674199083, -0.10220268693512724))"
1,18,8,1.683658327154e-03,"add(add(neg(yw), -0.40951156130425237), sub(sub(protected_tanh(yw), sub(sub(protected_tanh(yw), sub(0.48321706674199083, -0.10220268693512724)), yw)), yw))"
1,18,9,1.737460853267e-03,"yw"
1,19,0,1.372097772300e-03,"add(add(neg(yw), -0.40951156130425237), sub(sub(protected_tanh(yw), sub(0.48321706674199083, -0.10220268693512724)), yw))"
1,19,1,1.372097772310e-03,"add(add(neg(yw), -0.40951156130425237), sub(sub(protected_tanh(yw), sub(0.48321706674199083, -0.10220268693512724)), yw))"
