x_cg,y_cg,u_dns,v_dns,yw,nut,u_baseline,v_baseline,map_dist
8.749999999993e-02,1.625000000004e-01,1.071470000000e-03,8.096330000000e-04,8.749999999993e-02,3.017166870505e-06,1.965638369102e-04,7.910988996069e-04,2.187240695174e-03
8.749999999995e-02,1.875000000004e-01,1.562490000000e-03,5.317230000000e-04,8.749999999995e-02,3.878734040064e-06,4.393586093277e-04,5.614826918327e-04,2.050784205739e-03
8.749999999997e-02,2.125000000005e-01,1.866450000000e-03,2.135590000000e-04,8.749999999997e-02,4.921482508860e-06,6.649478396546e-04,1.725252259526e-04,1.701267134072e-03
8.749999999999e-02,2.375000000005e-01,2.011890000000e-03,-3.979420000000e-04,8.749999999999e-02,6.110705071516e-06,1.029679852598e-03,-4.989494962966e-04,2.827633260728e-03
8.750000000002e-02,2.625000000005e-01,2.760200000000e-03,-1.926960000000e-03,8.750000000002e-02,7.220567397795e-06,1.511951054136e-03,-1.330822863550e-03,3.197940525859e-03
8.750000000004e-02,2.875000000004e-01,4.433340000000e-03,-3.966620000000e-03,8.750000000004e-02,7.727567993101e-06,2.117348737072e-03,-2.353987040945e-03,1.778789437004e-03
8.750000000006e-02,3.125000000003e-01,5.343660000000e-03,-5.459120000000e-03,8.750000000006e-02,8.144126837370e-06,2.751419501265e-03,-3.476232955423e-03,2.324856954446e-03
8.750000000008e-02,3.375000000002e-01,5.003900000000e-03,-5.807370000000e-03,8.750000000008e-02,8.382583421799e-06,3.384124556160e-03,-4.676433914214e-03,7.841567826639e-04
8.750000000010e-02,3.625000000001e-01,4.533230000000e-03,-6.115540000000e-03,8.750000000010e-02,8.578872360857e-06,3.951877690750e-03,-5.914168577537e-03,8.917207297810e-04
8.750000000013e-02,3.875000000000e-01,3.999210000000e-03,-6.458270000000e-03,8.750000000013e-02,8.746787145651e-06,4.418779428335e-03,-7.173120533553e-03,7.747797169665e-04
8.750000000015e-02,4.124999999999e-01,3.438560000000e-03,-6.873300000000e-03,8.750000000015e-02,8.922150560040e-06,4.727708657582e-03,-8.454091541881e-03,2.394986818412e-03
8.750000000017e-02,4.374999999998e-01,3.071530000000e-03,-7.196050000000e-03,8.750000000017e-02,8.990406486603e-06,4.869046079375e-03,-9.749691884015e-03,3.904320761460e-03
8.750000000019e-02,4.624999999999e-01,2.558080000000e-03,-7.731330000000e-03,8.750000000019e-02,8.821840269011e-06,4.863829144863e-03,-1.103423184704e-02,1.118151089945e-03
8.750000000021e-02,4.874999999999e-01,2.245620000000e-03,-8.102760000000e-03,8.750000000021e-02,8.430181132630e-06,4.715979042934e-03,-1.227008239845e-02,3.568864225399e-03
8.750000000022e-02,5.125000000000e-01,1.866770000000e-03,-8.589630000000e-03,8.750000000022e-02,7.850405398650e-06,4.428371720607e-03,-1.342196934304e-02,8.180708157973e-04
8.750000000022e-02,5.375000000000e-01,1.586930000000e-03,-8.951880000000e-03,8.750000000022e-02,7.125101966860e-06,4.005267644775e-03,-1.445747343480e-02,1.302738887762e-03
8.750000000022e-02,5.625000000000e-01,1.286510000000e-03,-9.307480000000e-03,8.750000000022e-02,6.312598669966e-06,3.452865034630e-03,-1.534729724977e-02,7.530999997780e-04
8.750000000022e-02,5.875000000000e-01,1.000510000000e-03,-9.585070000000e-03,8.750000000022e-02,5.502229389406e-06,2.779339275039e-03,-1.606519100805e-02,7.530999997780e-04
8.750000000022e-02,6.125000000001e-01,7.062230000000e-04,-9.798150000000e-03,8.750000000022e-02,4.841244138963e-06,1.994493220620e-03,-1.658790083468e-02,7.530999997780e-04
8.750000000022e-02,6.375000000001e-01,3.960710000000e-04,-9.945470000000e-03,8.750000000022e-02,4.549107195469e-06,1.108581830662e-03,-1.689528405057e-02,7.530999997780e-04
8.750000000022e-02,6.625000000001e-01,4.411170000000e-05,-1.001030000000e-02,8.750000000022e-02,4.823218909726e-06,1.304727581745e-04,-1.696963290071e-02,1.302738887697e-03
8.750000000022e-02,6.875000000000e-01,-3.025270000000e-04,-1.000420000000e-02,8.750000000022e-02,5.647333878219e-06,-9.315790219516e-04,-1.679264414912e-02,8.180708158090e-04
8.750000000022e-02,7.125000000000e-01,-7.715190000000e-04,-9.897110000000e-03,8.750000000022e-02,6.879954041021e-06,-2.064078276211e-03,-1.635707225395e-02,3.478990063174e-03
8.750000000022e-02,7.375000000000e-01,-1.136890000000e-03,-9.748500000000e-03,8.750000000022e-02,8.335922912150e-06,-3.240281155703e-03,-1.565325265113e-02,1.635684446850e-03
8.750000000022e-02,7.625000000000e-01,-1.709510000000e-03,-9.438250000000e-03,8.750000000022e-02,9.873141611619e-06,-4.423356114210e-03,-1.467663154135e-02,1.742633598791e-03
8.750000000022e-02,7.875000000001e-01,-2.312210000000e-03,-9.049160000000e-03,8.750000000022e-02,1.134458441624e-05,-5.560892644860e-03,-1.343323056601e-02,2.282329919063e-03
8.750000000022e-02,8.125000000001e-01,-2.942440000000e-03,-8.610880000000e-03,8.750000000022e-02,1.257355530493e-05,-6.576277944250e-03,-1.194262898470e-02,9.092578619920e-04
8.750000000022e-02,8.375000000001e-01,-3.593350000000e-03,-8.153540000000e-03,8.750000000022e-02,1.334905507403e-05,-7.354439052162e-03,-1.024196159557e-02,3.257256607962e-03
8.750000000022e-02,8.625000000001e-01,-4.469850000000e-03,-7.563220000000e-03,8.750000000022e-02,1.349775408013e-05,-7.722774644143e-03,-8.386232040564e-03,2.707352924922e-03
8.750000000022e-02,8.875000000001e-01,-5.506560000000e-03,-6.927720000000e-03,8.750000000022e-02,1.308975659307e-05,-7.436366812057e-03,-6.442709433184e-03,8.061115677247e-04
8.750000000022e-02,9.125000000001e-01,-6.361430000000e-03,-6.435300000000e-03,8.749999999992e-02,1.280238727627e-05,-6.180730543854e-03,-4.475384504063e-03,1.065327113990e-03
8.750000000022e-02,9.375000000001e-01,-6.983770000000e-03,-5.951890000000e-03,6.249999999994e-02,1.410622548477e-05,-3.598225651639e-03,-2.495161269458e-03,1.602047318226e-03
8.750000000022e-02,9.625000000000e-01,-6.531990000000e-03,-4.824060000000e-03,3.749999999998e-02,1.289101635379e-05,5.179285929592e-04,-3.515377016664e-04,7.676982543106e-04
8.750000000022e-02,9.875000000000e-01,5.829530000000e-04,-3.379790000000e-04,1.250000000000e-02,2.354303452177e-06,3.798119469536e-03,4.606125130595e-04,7.650162479749e-04
1.124999999997e-01,1.250000000002e-02,-3.774940000000e-03,1.753930000000e-04,1.250000000002e-02,2.656879828560e-06,-2.623621117466e-03,3.090840442409e-04,4.007603895816e-04
1.124999999998e-01,3.750000000007e-02,-2.898990000000e-03,4.106240000000e-04,3.750000000007e-02,7.601412498026e-07,-2.124522042447e-03,2.747889150274e-05,1.070431436388e-03
1.124999999998e-01,6.250000000012e-02,-1.827280000000e-03,5.127470000000e-04,6.250000000012e-02,5.626179011815e-07,-1.471519896260e-03,6.437853895263e-05,6.820999576561e-04
1.124999999998e-01,8.750000000016e-02,-9.095750000000e-04,4.933300000000e-04,8.750000000016e-02,1.485500974059e-06,-9.028257882006e-04,-4.898365147348e-06,7.545210465428e-04
1.124999999998e-01,1.125000000002e-01,-1.133140000000e-04,4.144820000000e-04,1.124999999998e-01,2.391521050217e-06,-3.871467215061e-04,-7.201409735231e-05,8.755485421054e-04
1.124999999999e-01,1.375000000002e-01,5.836930000000e-04,2.840650000000e-04,1.124999999999e-01,3.293321885672e-06,9.413716099574e-05,-3.288547292188e-04,2.919884413937e-04
1.124999999999e-01,1.625000000003e-01,1.305010000000e-03,6.059620000000e-05,1.124999999999e-01,3.832448047889e-06,4.928264761894e-04,-5.647060085958e-04,2.073528031842e-03
1.124999999999e-01,1.875000000003e-01,1.892530000000e-03,-2.405290000000e-04,1.124999999999e-01,4.443190904629e-06,8.654055432975e-04,-9.203528655816e-04,1.929044452255e-03
1.125000000000e-01,2.125000000003e-01,2.308240000000e-03,-6.077680000000e-04,1.125000000000e-01,5.067386568450e-06,1.292271118734e-03,-1.420578673126e-03,1.552355146558e-03
1.125000000000e-01,2.375000000004e-01,3.117170000000e-03,-1.629100000000e-03,1.125000000000e-01,5.553147206633e-06,1.823823716770e-03,-2.086935020350e-03,2.740621553211e-03
1.125000000000e-01,2.625000000004e-01,4.816330000000e-03,-3.425590000000e-03,1.125000000000e-01,6.039852349907e-06,2.450612380644e-03,-2.889163420709e-03,3.121269012401e-03
1.125000000001e-01,2.875000000003e-01,5.885190000000e-03,-4.555790000000e-03,1.125000000001e-01,6.434195527298e-06,3.149170550264e-03,-3.806368903552e-03,1.636944868018e-03
1.125000000001e-01,3.125000000002e-01,5.690710000000e-03,-5.016920000000e-03,1.125000000001e-01,6.806284758219e-06,3.860259684286e-03,-4.807526674820e-03,2.218210201764e-03
1.125000000001e-01,3.375000000001e-01,5.271720000000e-03,-5.236100000000e-03,1.125000000001e-01,7.101875982133e-06,4.545537175051e-03,-5.873839440644e-03,3.611073247796e-04
1.125000000001e-01,3.625000000000e-01,4.805030000000e-03,-5.466890000000e-03,1.125000000001e-01,7.324988303675e-06,5.150741386512e-03,-6.983265231840e-03,5.573710614155e-04
1.125000000002e-01,3.874999999999e-01,4.306880000000e-03,-5.740670000000e-03,1.125000000002e-01,7.470080410828e-06,5.633793190428e-03,-8.120529395856e-03,3.402649704478e-04
1.125000000002e-01,4.124999999999e-01,3.793110000000e-03,-6.077000000000e-03,1.125000000002e-01,7.569583607385e-06,5.952153519158e-03,-9.277477508614e-03,2.291606096332e-03
1.125000000002e-01,4.374999999998e-01,3.451570000000e-03,-6.338310000000e-03,1.125000000002e-01,7.583059413347e-06,6.091336657761e-03,-1.044304513671e-02,3.841772670103e-03
1.125000000002e-01,4.624999999999e-01,2.953110000000e-03,-6.775420000000e-03,1.125000000002e-01,7.444045506055e-06,6.055099055464e-03,-1.159598656968e-02,8.750762825941e-04
1.125000000003e-01,4.875000000000e-01,2.632810000000e-03,-7.084670000000e-03,1.125000000003e-01,7.143971207638e-06,5.845415017713e-03,-1.270929591697e-02,3.500326913286e-03
1.125000000003e-01,5.125000000000e-01,2.225640000000e-03,-7.499850000000e-03,1.125000000003e-01,6.695700678111e-06,5.466771934052e-03,-1.375606948225e-02,4.298098418682e-04
1.125000000003e-01,5.375000000000e-01,1.912980000000e-03,-7.816610000000e-03,1.125000000003e-01,6.122567927724e-06,4.925896095084e-03,-1.470985895779e-02,1.101192648980e-03
1.125000000003e-01,5.625000000000e-01,1.565830000000e-03,-8.134820000000e-03,1.125000000003e-01,5.462152599501e-06,4.231236089796e-03,-1.554485618347e-02,2.875000002900e-04
1.125000000003e-01,5.875000000000e-01,1.226900000000e-03,-8.390380000000e-03,1.125000000003e-01,4.780029104800e-06,3.392529583671e-03,-1.623593509065e-02,2.875000002900e-04
1.125000000003e-01,6.125000000001e-01,8.748010000000e-04,-8.591290000000e-03,1.125000000003e-01,4.197555117515e-06,2.420427214913e-03,-1.675941712766e-02,2.875000002900e-04
1.125000000003e-01,6.375000000001e-01,5.019080000000e-04,-8.735760000000e-03,1.125000000003e-01,3.913467672321e-06,1.325916961489e-03,-1.709435337721e-02,2.875000002900e-04
