id,x,y,z,volume,yw,U,V,W
        2072, -1.033699255387500E-01,  1.628672707176800E+00,  4.472601537883100E+00,  1.096386427793900E-03,  8.631881902872200E-01, -2.015405203769222E-03, -9.521130124002050E-02,  6.600589810320311E-02
        2073, -6.621152065116100E-02,  1.635974394864500E+00,  4.459184853046800E+00,  7.251744532022000E-04,  8.985123916445200E-01, -1.639221799320857E-03, -9.258362233018783E-02,  6.538684549841096E-02
        2074, -1.033747849043200E-01,  1.924254441701900E+00,  4.472677013519700E+00,  1.067456493945100E-03,  6.871899446287700E-01, -4.374178701494792E-03, -1.253617760892279E-01,  9.280164194674634E-02
        2075, -6.621652984711800E-02,  1.934353487795900E+00,  4.459234417883000E+00,  7.064635037816000E-04,  7.142108947090000E-01, -2.142705401923293E-03, -1.230047514059627E-01,  9.282787770931443E-02
        2076, -1.033794530597400E-01,  2.212446632646700E+00,  4.472750601974400E+00,  1.039323788889300E-03,  4.898872518539400E-01, -1.909141834083730E-03, -1.801922401063574E-01,  1.174253910251468E-01
        2077, -6.622139057116901E-02,  2.225273103184900E+00,  4.459282743501300E+00,  6.882473940390000E-04,  4.941659278645000E-01,  9.223488439177532E-04, -1.769114832813977E-01,  1.178927866699551E-01
        2078, -1.033839382283400E-01,  2.493434018902100E+00,  4.472822350365900E+00,  1.011964812668500E-03,  2.608756295030100E-01, -9.048171610355643E-03, -2.569987810057035E-01,  1.668510119480846E-01
        2079, -6.622610768281000E-02,  2.508919728274000E+00,  4.459329860861800E+00,  6.705125393424000E-04,  2.804925518072100E-01, -7.158936775275081E-03, -2.545148419760292E-01,  1.670490246083406E-01
        2080, -1.033882478784000E-01,  2.767396720578700E+00,  4.472892305106000E+00,  9.853568085936000E-04,  1.011209213284100E-01, -6.069059171970851E-03, -2.816074585850543E-01,  1.994969677360698E-01
        2081, -6.623068573688499E-02,  2.785475187814300E+00,  4.459375800307800E+00,  6.532457371821000E-04,  8.517928522204500E-02, -4.619183636415669E-03, -2.836999269239225E-01,  2.021314764351751E-01
        2082, -1.033543419077600E-01,  1.023353233540800E+00,  4.384778054337700E+00,  1.223098468017200E-03,  1.052230926495200E+00,  1.469202017244144E-03, -5.567530045938735E-02, -1.172013626310187E-02
        2083, -6.619578008360801E-02,  1.022167167497100E+00,  4.398113305095900E+00,  7.941916104906000E-04,  1.055751292596900E+00,  1.666646701308329E-03, -5.799174451421826E-02, -1.071056982572192E-02
        2084, -1.033492285987900E-01,  1.351618727125900E+00,  4.384856515389400E+00,  1.194380208947300E-03,  1.013481553323000E+00,  5.934332331621831E-04, -6.398591897442031E-02,  3.473270860265726E-02
        2085, -6.619072019138400E-02,  1.348090180644500E+00,  4.398164509302100E+00,  7.750738798375000E-04,  1.032588313177200E+00,  9.273999184194689E-04, -6.771667557488863E-02,  3.472865543041620E-02
